Wall time,Step,Value
1776319398.7035375,5,0.0
1776319468.406309,15,0.0
1776319474.8885603,16,0.003537735901772976
1776319494.517454,19,0.001179245300590992
1776319501.5175548,20,0.001179245300590992
1776319508.2095907,21,0.0
1776319522.4211047,23,0.0053956834599375725
1776319549.260288,27,0.0
1776319555.6818764,28,0.0
1776319644.7465136,41,0.001179245300590992
1776319691.108944,48,0.001207729452289641
1776319697.4680545,49,0.0
1776319703.8253086,50,0.0
1776319716.7651238,52,0.0
1776319735.4384463,55,0.001179245300590992
1776319774.7213411,61,0.00589622650295496
1776319781.2477715,62,0.007075471803545952
1776319788.1781578,63,0.001179245300590992
1776319794.2155128,64,0.004716981202363968
1776319814.6473026,67,0.00147058826405555
1776319821.8166394,68,0.001179245300590992
1776319828.1678598,69,0.004716981202363968
1776319842.2630186,71,0.001179245300590992
1776319848.9058414,72,0.002923976629972458
1776319888.0388367,78,0.0
1776319919.830143,83,0.001179245300590992
1776319965.704975,90,0.0
1776320032.8390222,100,0.001179245300590992
1776320058.298932,104,0.002358490601181984
1776320076.8612964,107,0.0036945813335478306
1776320082.983862,108,0.004716981202363968
1776320095.5726259,110,0.001179245300590992
1776320140.741224,117,0.011658030562102795
1776320172.6782444,122,0.004716981202363968
1776320196.9291193,126,0.00589622650295496
1776320203.2540278,127,0.008254717104136944
1776320215.3141506,129,0.01179245300590992
1776320228.6913126,131,0.00589622650295496
1776320265.5993779,137,0.00589622650295496
1776320271.6550553,138,0.010613207705318928
1776320315.9719503,145,0.008254717104136944
1776320329.257644,147,0.008254717104136944
1776320335.6530092,148,0.00589622650295496
1776320356.3936007,151,0.003537735901772976
1776320402.3769917,158,0.019607843831181526
1776320420.6689847,161,0.012971698306500912
1776320433.9994395,163,0.012971698306500912
1776320447.2680874,165,0.004716981202363968
1776320488.7724822,171,0.009433962404727936
1776320495.7434459,172,0.009433962404727936
1776320502.016482,173,0.003537735901772976
1776320533.397851,178,0.010613207705318928
1776320577.465693,185,0.021226417273283005
1776320583.7762315,186,0.03891509771347046
1776320590.0355961,187,0.04363207519054413
1776320615.589516,191,0.024764150381088257
1776320621.6634128,192,0.016509434208273888
1776320627.606192,193,0.02004716917872429
1776320670.8081253,200,0.02712264284491539
1776320689.894654,203,0.03891509771347046
1776320696.6162193,204,0.04952830448746681
1776320702.945351,205,0.05424528196454048
1776320709.257697,206,0.049528300762176514
1776320721.9635334,208,0.05681817978620529
1776320748.734914,212,0.03419811278581619
1776320761.6301115,214,0.04363207519054413
1776320774.2967832,216,0.044811323285102844
1776320799.5671859,220,0.041273586452007294
1776320806.4171984,221,0.024764150381088257
1776320812.6357915,222,0.01179245300590992
1776320831.4564478,225,0.029481131583452225
1776320862.9182682,230,0.01886792480945587
1776320926.3086345,240,0.003537735901772976
1776320957.8896074,245,0.021226415410637856
1776320964.1668956,246,0.03891509771347046
1776320970.1844864,247,0.00589622650295496
1776321047.9891064,259,0.0
1776321054.3882225,260,0.0
1776321061.3794694,261,0.0
1776321135.2267816,272,0.0
1776321155.252677,275,0.0
1776321168.6494288,277,0.0
1776321181.1574187,279,0.0
1776321208.1891623,283,0.0
1776321228.708574,286,0.004716981202363968
1776321248.27715,289,0.0
1776321261.269109,291,0.0
1776321292.9880888,296,0.0
1776321306.2639813,298,0.0
1776321312.3906176,299,0.009433962404727936
1776321365.0038652,307,0.008254717104136944
1776321377.6443732,309,0.0
1776321404.1242676,313,0.0
1776321431.5810487,317,0.0
1776321444.4842072,319,0.0
1776321451.222874,320,0.0
1776321471.2199912,323,0.0
1776321566.144424,338,0.0
1776321572.5038226,339,0.0
1776321605.8311634,344,0.0
1776321619.2313375,346,0.0
1776321626.1071544,347,0.0
1776321667.9492526,353,0.0
1776321681.2241395,355,0.0
1776321708.0269053,359,0.0
1776321734.5765085,363,0.002358490601181984
1776321740.7590501,364,0.0
1776321747.0486374,365,0.0
1776321753.519682,366,0.0
1776321760.0698369,367,0.0
1776321766.679253,368,0.0
1776321841.2338965,379,0.0
1776321894.0143366,387,0.0
1776321921.252841,391,0.0
1776321933.463586,393,0.0
1776321946.66653,395,0.0
1776321966.3112645,398,0.0
1776321999.4300888,403,0.0
1776322013.113973,405,0.0
1776322043.454428,410,0.0
1776322076.4777358,415,0.0
1776322082.6515586,416,0.0
1776322119.4123006,422,0.0
1776322125.4253018,423,0.0
1776322151.2676427,427,0.003537735901772976
1776322176.8083622,431,0.0
1776322209.1603498,436,0.0
1776322215.5792046,437,0.0
1776322221.6846006,438,0.0
1776322235.222754,440,0.0
1776322261.6632779,444,0.0
1776322267.72097,445,0.0
1776322280.108737,447,0.0
1776322306.1275156,451,0.0
1776322318.7189324,453,0.0
1776322343.7540996,457,0.0
1776322375.0556297,462,0.0
1776322400.7809916,466,0.0
1776322406.809327,467,0.0
1776322419.883038,469,0.0
1776322432.939687,471,0.0
1776322457.4081018,475,0.0
1776322463.6742752,476,0.0
1776322495.2381275,481,0.0
1776322501.4754941,482,0.0
1776322540.7792683,488,0.0
1776322554.3242629,490,0.0
1776322587.8519907,495,0.0
1776322613.8892882,499,0.0
1776322688.5971951,510,0.0
1776322695.479625,511,0.0
1776322702.6414642,512,0.0
1776322708.8708727,513,0.0
1776322715.1493988,514,0.0
1776322722.3641307,515,0.0
1776322742.1934044,518,0.0
1776322748.7342243,519,0.0
1776322755.3427408,520,0.0
1776322850.239757,534,0.0
1776322857.2214172,535,0.0
1776322870.961609,537,0.0
1776322877.6262596,538,0.0
1776322884.6867194,539,0.0
1776322898.451046,541,0.0
1776322912.113652,543,0.003537735901772976
